keys,ru,kk
OBJ_2_TITLE,"Микшерный пульт Yamaha MG12X и усилитель мощности Yamaha PX3 в стойке.","Тірекке орнатылған Yamaha MG12X микшерлік пульті және Yamaha PX3 қуат күшейткіші."
OBJ_2_DESC,"Комплект профессионального звукового оборудования, включающий 12-канальный аналоговый микшерный пульт и двухканальный усилитель мощности звуковой частоты. На заднем плане расположены приемники беспроводных микрофонных систем Takstar и видеопроцессор. Комплекс предназначен для маршрутизации, микширования и усиления аудио- и видеосигналов в конференц-залах или учебных аудиториях.","12 арналы аналогтық микшерлік пульт пен екі арналы дыбыс жиілігінің қуат күшейткішін қамтитын кәсіби дыбыстік жабдықтар жиынтығы. Фондық режимде Takstar сымсыз микрофон жүйелерінің қабылдағыштары мен бейнепроцессор орналасқан. Кешен конференция залдарында немесе оқу аудиторияларында аудио және бейнесигналдарды бағыттауға, араластыруға және күшейтуге арналған."
OBJ_3_TITLE,"Настенный светодиодный (LED) экран / Интерактивная панель.","Қабырғаға орнатылған жарықдиодты (LED) экран / Интерактивті панель."
OBJ_3_DESC,"Широкоформатный настенный экран черного цвета, установленный в актовом зале. Предназначен для демонстрации презентаций, видеоматериалов, графической информации и проведения интерактивных занятий.","Актов залында орнатылған қара түсті кең форматты қабырға экраны. Презентацияларды, бейнематериалдарды, графикалық ақпаратты көрсетуге және интерактивті сабақтар өткізуге арналған."
OBJ_4_TITLE,"Мультимедийная интерактивная трибуна (кафедра) в конференц-зале.","Конференция залындағы мультимедиалық интерактивті мінбер (кафедра)."
OBJ_4_DESC,"Многофункциональное рабочее место лектора, оснащенное основным сенсорным монитором, дополнительной панелью управления, компьютерной мышью и встроенным в нижний шкаф блоком централизованного управления (Pro-Main) мультимедийным оборудованием аудитории.","Негізгі сенсорлық монитормен, қосымша басқару панелімен, компьютерлік тышқанмен және төменгі шкафқа кірістірілген аудиторияның мультимедиалық жабдықтарын орталықтандырылған басқару блогымен (Pro-Main) жабдықталған лектордың көпфункционалды жұмыс орны."
OBJ_5_TITLE,"Промышленная электрическая машина (электродвигатель / генератор постоянного тока).","Өнеркәсіптік электр машинасы (тұрақты ток электр қозғалтқышы / генераторы)."
OBJ_5_DESC,"Крупногабаритная стационарная электрическая машина, установленная на массивном металлическом основании в учебной лаборатории. Используется в качестве наглядного пособия и лабораторного стенда для изучения устройства, принципов работы и характеристик электрических машин и электропривода.","Оқу зертханасында массивті металл негізге орнатылған ірі габаритті стационарлық электр машинасы. Электр машиналары мен электр жетегінің құрылысын, жұмыс принциптерін және сипаттамаларын зерттеуге арналған көрнекі құрал және зертханалық стенд ретінде пайдаланылады."
OBJ_6_TITLE,"Промышленный асинхронный электродвигатель на постаменте.","Тұғырдағы өнеркәсіптік асинхронды электр қозғалтқышы."
OBJ_6_DESC,"Трехфазный электрический двигатель промышленного исполнения, закрепленный на прочном бетонном основании (постаменте). Подключение к электрической сети выполнено с использованием защитных металлических гофрированных шлангов. Используется в учебных целях для демонстрации работы промышленного силового оборудования.","Мықты бетон негізіне (тұғырға) бекітілген өнеркәсіптік үлгідегі үш фазалы электр қозғалтқышы. Электр желісіне қосылу қорғаныс металл гофрленген шлангтарды қолдану арқылы орындалған. Оқу мақсатында өнеркәсіптік күштік жабдықтардың жұмысын көрсету үшін қолданылады."
OBJ_7_TITLE,"Стенд наглядных пособий «Режущие инструменты».","«Кескіш құралдар» көрнекі құралдар стенді."
OBJ_7_DESC,"Настенный демонстрационный деревянный щит с образцами инструментов, применяемых в металлообработке. Содержит различные виды фрез (дисковые, торцовые, червячные, модульные) и токарных резцов (подрезные, проходные, отрезные, расточные) с поясняющими табличками на русском языке.","Металл өңдеуде қолданылатын құралдардың үлгілері бар қабырғаға орнатылған демонстрациялық ағаш қалқан. Онда орыс тіліндегі түсіндірме тақтайшалары бар фрезалардың әртүрлі түрлері (дискілі, шеткі, бұрандалы, модульдік) және токарь кескіштері (бүйірлей кесетін, өтпелі, қима, ішкі жону) орналасқан."
OBJ_8_TITLE,"Стенд наглядных пособий «Измерительные инструменты».","«Өлшеуіш құралдар» көрнекі құралдар стенді."
OBJ_8_DESC,"Обучающий демонстрационный стенд под стеклом, разделенный на категории «Универсальные» (штангенциркуль, микрометры, глубиномер, нутромер, лекальные линейки) и «Одномерные» (шаблоны, калибр-пробки, скобы). Предназначен для изучения приборов точных измерений в машиностроении.","«Әмбебап» (штангенциркуль, микрометрлер, тереңдік өлшеуіш, ішкі өлшеуіш, лекальді сызғыштар) және «Бір өлшемді» (шаблондар, калибр-тығындар, қапсырмалар) санаттарына бөлінген шыны астындағы оқу-демонстрациялық стенд. Машина жасаудағы дәл өлшеу аспаптарын зерттеуге арналған."
OBJ_9_TITLE,"Токарно-винторезный станок Holzmann ED 1000PI DRO.","Holzmann ED 1000PI DRO токарлық-бұранда кесу станогы."
OBJ_9_DESC,"Профессиональный универсальный металлообрабатывающий станок, оснащенный системой цифровой индикации (УЦИ) для точного позиционирования инструмента. Предназначен для выполнения различных токарных работ: обтачивания цилиндрических и конических поверхностей, подрезки торцов, сверления и нарезания резьбы в заводских или учебных мастерских.","Құралды дәл орналастыру үшін санмен белгілеу жүйесімен (СБЖ) жабдықталған кәсіби әмбебап металл өңдеу станогы. Зауыттық немесе оқу шеберханаларында әртүрлі токарлық жұмыстарды орындауға: цилиндрлік және конустық беттерді жонуға, шеттерін кесуге, бұрғылауға және бұранда кесуге арналған."
OBJ_10_TITLE,"Вертикально-фрезерный станок по металлу.","Металл өңдеуге арналған вертикалды-фрезерлік станок."
OBJ_10_DESC,"Промышленный металлорежущий станок, предназначенный для обработки плоских и фасонных поверхностей, пазов, уступов и зубчатых колес фрезами. Оснащен подвижным координатным столом, делительной головкой (патроном) и механизмами ручного и автоматического управления.","Тегіс және пішінді беттерді, паздарды (ойықтарды), кемерлерді және тісті дөңгелектерді фрезалармен өңдеуге арналған өнеркәсіптік металл кескіш станок. Жылжымалы координаталық үстелмен, бөлу бастиегімен (патронмен) және қолмен және автоматты басқару механизмдерімен жабдықталған."
OBJ_11_TITLE,"Лабораторный стенд «Автоматизация и защита электроэнергетических систем».","«Электр энергетикалық жүйелерді автоматтандыру және қорғау» зертханалық стенді."
OBJ_11_DESC,"Модульный учебно-исследовательский стенд, включающий в себя панели управления: трехполюсный и аварийный выключатели, модуль синхронизации (синхроноскоп), однофазный источник питания, блоки реле напряжения и тока, модуль емкостной нагрузки и модель замыкания на землю. Предназначен для практического изучения релейной защиты, автоматики и процессов в энергосистемах.","Келесі басқару панельдерін қамтитын модульдік оқу-зерттеу стенді: үш полюсті және авариялық ажыратқыштар, синхрондау модулі (синхроноскоп), бір фазалы қуат көзі, кернеу мен ток релесі блоктары, сыйымдылық жүктемесі модулі және жерге тұйықталу моделі. Релелік қорғанысты, автоматиканы және энергия жүйелеріндегі процестерді практикалық зерттеуге арналған."
OBJ_12_TITLE,"Лабораторный стенд «Релейная защита и автоматизация электроэнергетических систем без генератора».","«Генераторсыз электр энергетикалық жүйелерді релелік қорғау және автоматтандыру» зертханалық стенді."
